Nível;Indicador;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Unidade
1;Ensino básico;;;;;;;;;;;;;;;;;;
1.1;Matrículas;;;;;;;;;;;;;;;;;;
1.1.1;Ensino infantil;2084;2712;3006;3075;3391;3320;3345;3393;3471;3534;3670;3604;3532;2876;3718;3739;3885;matrículas
1.1.1.1;Creche;764;1076;1364;1353;1567;1535;1580;1604;1691;1599;1760;1773;1814;1365;1904;1882;2028;matrículas
1.1.1.1.1;Municipal;381;774;1022;1072;1253;1179;1200;1239;1364;1324;1425;1450;1447;1221;1512;1485;1695;matrículas
1.1.1.1.2;Estadual;25;13;;;;;;;;;;;;;;;;matrículas
1.1.1.1.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.1.1.4;Privado;358;289;342;281;314;356;380;365;327;275;335;323;367;144;392;397;333;matrículas
1.1.1.2;Pré-escolar;1320;1636;1642;1722;1824;1785;1765;1789;1780;1935;1910;1831;1718;1511;1814;1857;1857;matrículas
1.1.1.2.1;Municipal;942;1189;1222;1278;1380;1356;1326;1315;1358;1538;1426;1328;1224;1182;1326;1365;1366;matrículas
1.1.1.2.2;Estadual;14;20;;;;;;;;;;;;;;;;matrículas
1.1.1.2.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.1.2.4;Privado;364;427;420;444;444;429;439;474;422;397;484;503;494;329;488;492;491;matrículas
1.1.2;Ensino fundamental;11078;10640;10448;10005;9600;9756;10277;9929;9560;9246;9049;9016;9254;8767;8963;8772;8751;matrículas
1.1.2.1;1º ano;1150;985;972;895;849;955;1219;922;943;895;984;1004;986;;894;947;973;matrículas
1.1.2.1.1;Municipal;472;372;393;348;345;384;540;400;452;427;422;431;425;384;396;473;487;matrículas
1.1.2.1.2;Estadual;514;427;392;362;321;384;437;318;286;263;322;327;318;264;277;238;245;matrículas
1.1.2.1.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.1.4;Privado;164;186;187;185;183;187;242;204;205;205;240;246;243;210;221;236;241;matrículas
1.1.2.2;2º ano;1223;1169;1021;1023;903;867;1068;1220;933;990;876;962;1015;;911;907;933;matrículas
1.1.2.2.1;Municipal;487;479;394;438;337;341;484;523;389;445;406;423;431;410;401;419;476;matrículas
1.1.2.2.2;Estadual;590;529;454;406;381;343;389;473;324;320;287;315;345;305;269;268;227;matrículas
1.1.2.2.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.2.4;Privado;146;161;173;179;185;183;195;224;220;225;183;224;239;231;241;220;230;matrículas
1.1.2.3;3º ano;1322;1317;1223;994;1029;937;977;989;1227;948;1011;931;990;;956;937;909;matrículas
1.1.2.3.1;Municipal;543;515;466;384;430;358;442;389;547;396;412;389;401;429;392;422;428;matrículas
1.1.2.3.2;Estadual;619;641;590;446;428;397;353;403;464;348;350;309;341;331;310;282;260;matrículas
1.1.2.3.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.3.4;Privado;160;161;167;164;171;182;182;197;216;204;249;233;248;227;254;233;221;matrículas
1.1.2.4;4º ano;1151;1218;1275;1209;997;1021;1041;893;970;1237;935;999;908;;1020;983;946;matrículas
1.1.2.4.1;Municipal;339;513;496;483;384;410;451;346;379;566;369;425;380;409;432;401;432;matrículas
1.1.2.4.2;Estadual;634;541;615;569;457;439;403;359;390;465;375;353;329;329;348;336;290;matrículas
1.1.2.4.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.4.4;Privado;178;164;164;157;156;172;187;188;201;206;191;221;199;236;240;246;224;matrículas
1.1.2.5;5º ano;1060;1332;1311;1353;1326;1094;1117;1000;918;980;1245;936;1021;;997;1008;978;matrículas
1.1.2.5.1;Municipal;240;342;490;491;500;391;425;350;349;384;526;375;420;367;417;420;377;matrículas
1.1.2.5.2;Estadual;605;778;642;685;662;541;511;473;377;392;498;374;379;312;333;354;363;matrículas
1.1.2.5.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.5.4;Privado;215;212;179;177;164;162;181;177;192;204;221;187;222;209;247;234;238;matrículas
1.1.2.6;6º ano;1371;1037;1318;1309;1397;1424;1226;1462;1095;1012;1062;1294;1083;;938;1087;1071;matrículas
1.1.2.6.1;Municipal;472;354;445;301;287;314;268;530;260;125;229;216;204;169;184;215;236;matrículas
1.1.2.6.2;Estadual;735;538;707;846;929;923;764;755;645;697;648;870;694;592;583;637;618;matrículas
1.1.2.6.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.6.4;Privado;164;145;166;162;181;187;194;177;190;190;185;208;185;207;171;235;217;matrículas
1.1.2.7;7º ano;1413;1202;917;1149;1211;1263;1358;1188;1168;998;981;1039;1303;;1077;956;1060;matrículas
1.1.2.7.1;Municipal;465;425;324;293;313;308;310;285;271;261;158;225;239;216;195;197;229;matrículas
1.1.2.7.2;Estadual;816;615;435;679;730;789;852;714;722;553;640;635;853;608;647;555;609;matrículas
1.1.2.7.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.7.4;Privado;132;162;158;177;168;166;196;189;175;184;183;179;211;174;235;204;222;matrículas
1.1.2.8;8º ano;1224;1301;1296;905;1074;1185;1185;1210;1146;1051;980;948;1034;;988;1035;934;matrículas
1.1.2.8.1;Municipal;448;467;515;230;296;325;296;285;303;269;254;166;229;240;214;214;206;matrículas
1.1.2.8.2;Estadual;604;707;616;509;591;673;706;734;660;605;547;591;628;772;599;617;541;matrículas
1.1.2.8.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.8.4;Privado;172;127;165;166;187;187;183;191;183;177;179;191;177;207;175;204;187;matrículas
1.1.2.9;9º ano;1164;1079;1115;1168;814;1010;1086;1045;1160;1135;975;903;914;;1182;912;947;matrículas
1.1.2.9.1;Municipal;717;403;419;366;232;288;306;275;302;262;261;232;165;224;227;204;204;matrículas
1.1.2.9.2;Estadual;282;513;569;631;415;542;583;606;667;686;544;486;568;528;743;531;554;matrículas
1.1.2.9.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.2.9.4;Privado;165;163;127;171;167;180;197;164;191;187;170;185;181;177;212;177;189;matrículas
1.1.3;Ensino médio;3508;3552;3318;3196;3126;2798;2691;2771;2935;2968;2927;2731;2721;2432;2534;2618;2599;matrículas
1.1.3.1;1º série;1357;1418;1438;1337;1372;1015;1068;1183;1136;1136;1178;1046;1042;809;948;1159;979;matrículas
1.1.3.1.1;Municipal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.1.2;Estadual;1187;1243;1243;1169;1111;817;853;948;946;931;973;859;855;642;765;931;794;matrículas
1.1.3.1.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.1.4;Privado;170;175;195;168;261;198;215;235;190;205;205;187;187;167;183;228;185;matrículas
1.1.3.2;2º série;1272;1041;935;1033;935;1015;790;922;969;945;905;873;892;900;796;820;930;matrículas
1.1.3.2.1;Municipal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.2.2;Estadual;1059;869;770;841;764;804;615;739;765;764;728;690;727;698;631;648;728;matrículas
1.1.3.2.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.2.4;Privado;213;172;165;192;171;211;175;183;204;181;177;183;165;202;165;172;202;matrículas
1.1.3.3;3º série;879;1093;945;826;819;768;833;631;729;821;813;778;756;723;790;639;690;matrículas
1.1.3.3.1;Municipal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.3.2;Estadual;696;901;769;644;617;611;620;471;571;639;653;625;591;592;625;477;525;matrículas
1.1.3.3.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.3.4;Privado;183;192;176;182;202;157;213;160;158;182;160;153;165;131;165;162;165;matrículas
1.1.3.4;4º série;;;;;;;;35;101;66;31;34;31;;;;;matrículas
1.1.3.4.1;Municipal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.4.2;Estadual;;;;;;;;35;101;66;31;34;31;;;;;matrículas
1.1.3.4.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.4.4;Privado;;;;;;;;;;;;;;;;;;matrículas
1.1.3.5;Não seriada;;;;;;;;;;;;;;;;;;matrículas
1.1.3.5.1;Municipal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.5.2;Estadual;;;;;;;;;;;;;;;;;;matrículas
1.1.3.5.3;Federal;;;;;;;;;;;;;;;;;;matrículas
1.1.3.5.4;Privado;;;;;;;;;;;;;;;;;;matrículas
1.2;Docentes;;;;;;;;;;;;;;;;;;
1.2.1;Ensino infantil;144;182;173;164;228;226;241;278;272;268;275;265;276;255;277;279;278;docentes
1.2.1.1;Creche;67;91;91;79;111;115;126;154;156;148;158;150;163;146;161;171;166;docentes
1.2.1.1.1;Municipal;40;67;63;55;81;82;88;112;115;114;124;117;131;124;125;128;127;docentes
1.2.1.1.2;Estadual;2;1;;;;;;;;;;;;;;;;docentes
1.2.1.1.3;Federal;;;;;;;;;;;;;;;;;;docentes
1.2.1.1.4;Privado;26;24;29;26;31;34;40;43;43;36;34;34;36;23;37;44;40;docentes
1.2.1.2;Pré-escolar;82;102;94;93;123;120;124;140;127;129;123;118;117;115;123;126;128;docentes
1.2.1.2.1;Municipal;53;69;62;62;86;90;89;88;86;92;89;84;81;80;85;80;85;docentes
1.2.1.2.2;Estadual;1;2;;;;;;;;;;;;;;;;docentes
1.2.1.2.3;Federal;;;;;;;;;;;;;;;;;;docentes
1.2.1.2.4;Privado;28;34;36;34;37;31;36;54;41;38;35;35;37;35;39;48;45;docentes
1.2.2;Ensino fundamental;551;543;540;526;505;503;521;537;539;517;518;530;523;509;520;539;500;docentes
1.2.2.1;Anos iniciais;308;302;304;279;276;253;269;288;286;274;283;273;269;269;274;283;274;docentes
1.2.2.1.1;Municipal;107;115;113;107;117;112;115;119;122;127;127;117;117;108;117;118;126;docentes
1.2.2.1.2;Estadual;142;140;143;122;110;87;84;97;92;85;85;82;79;82;83;89;75;docentes
1.2.2.1.3;Federal;;;;;;;;;;;;;;;;;;docentes
1.2.2.1.4;Privado;76;73;72;69;70;75;86;93;92;80;92;94;91;94;92;91;89;docentes
1.2.2.2;Anos finais;275;268;262;267;249;266;277;273;279;266;261;286;285;272;280;291;255;docentes
1.2.2.2.1;Municipal;115;103;113;71;60;64;62;69;64;57;64;63;60;45;64;64;70;docentes
1.2.2.2.2;Estadual;123;131;122;153;139;149;155;152;149;152;144;163;159;160;155;158;128;docentes
1.2.2.2.3;Federal;;;;;;;;;;;;;;;;;;docentes
1.2.2.2.4;Privado;65;55;53;65;67;70;79;77;85;73;71;76;83;82;84;85;75;docentes
1.2.3;Ensino médio;221;205;219;235;212;206;209;231;242;218;220;219;205;216;249;238;218;docentes
1.3;Escolas;;;;;;;;;;;;;;;;;;
